"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"79",2020-02-09,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"80",2020-02-09,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"81",2020-02-09,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"82",2020-02-09,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,NA,NA
"83",2020-02-10,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"84",2020-02-10,"California",6,7,0,39512223,1.77160368830678e-07,6.14285714285714,1.55467262443248e-07
"85",2020-02-10,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"86",2020-02-10,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"87",2020-02-10,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"88",2020-02-10,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,NA,NA
"89",2020-02-11,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"90",2020-02-11,"California",6,7,0,39512223,1.77160368830678e-07,6.28571428571429,1.59082780174486e-07
"91",2020-02-11,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"92",2020-02-11,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"93",2020-02-11,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"94",2020-02-11,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"95",2020-02-12,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"96",2020-02-12,"California",6,7,0,39512223,1.77160368830678e-07,6.42857142857143,1.62698297905725e-07
"97",2020-02-12,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"98",2020-02-12,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"99",2020-02-12,"Texas",48,1,0,28995881,3.44876570572213e-08,NA,NA
"100",2020-02-12,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"101",2020-02-12,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"102",2020-02-13,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"103",2020-02-13,"California",6,7,0,39512223,1.77160368830678e-07,6.57142857142857,1.66313815636963e-07
"104",2020-02-13,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"105",2020-02-13,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"106",2020-02-13,"Texas",48,2,0,28995881,6.89753141144427e-08,NA,NA
"107",2020-02-13,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"108",2020-02-13,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"109",2020-02-14,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"110",2020-02-14,"California",6,7,0,39512223,1.77160368830678e-07,6.71428571428571,1.69929333368201e-07
"111",2020-02-14,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"112",2020-02-14,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"113",2020-02-14,"Texas",48,2,0,28995881,6.89753141144427e-08,NA,NA
"114",2020-02-14,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"115",2020-02-14,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"116",2020-02-15,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"117",2020-02-15,"California",6,7,0,39512223,1.77160368830678e-07,6.85714285714286,1.7354485109944e-07
"118",2020-02-15,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"119",2020-02-15,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"120",2020-02-15,"Texas",48,2,0,28995881,6.89753141144427e-08,NA,NA
"121",2020-02-15,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"122",2020-02-15,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"123",2020-02-16,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"124",2020-02-16,"California",6,7,0,39512223,1.77160368830678e-07,7,1.77160368830678e-07
"125",2020-02-16,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"126",2020-02-16,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"127",2020-02-16,"Texas",48,2,0,28995881,6.89753141144427e-08,NA,NA
